"","target.effect","orig.study.number","orig.N","orig.ES.type","orig.ES","orig.ES.CI","rep.N","rep.ES.type","rep.ES","rep.ES.CI","rep.study.number","rep.outcome","IVs","DVs","rep.type","rep.effort.type","rep.method.differences","rep.active.sample.evidence","other.outcomes","ES.description","EC.URL","orig.study.article.URL","orig.study.article.DOI","rep.study.article.URL","rep.open.data.URL","rep.open.materials.URL","rep.pre.reg.URL","orig.open.data.URL","orig.open.materials.URL","orig.pre.reg.URL","rep.population","discipline","orig.study.pub.year","reporting.standard.used","effect.description","design","statistical.effect.type","orig.test.statistic","orig.pvalue","rep.outcome.bayesian","orig.article.title","RPP.orig.untransformed.ES","RPP.rep.untransformed.ES","RPP.interpretation","RPP.study.number","study.order.CS","rep.num.in.set","social.priming","include.in.HTML.table","rep.num","x_crcited","x_altscore","rvCAN","x_altscore_pyear","x_crcited_pyear","rvCAN_pyear","orig.ES.CI.r","rvCAP","rvCAP_pyear","rvCApyN","orig.pvalue.numeric"
"999","power posing effect (risk-taking DV)","Carney, Cuddy & Yap (2010)",42,"OR",3.13,NA,108,"OR","0.53","[.17,1.59]","Ronay, Tybur et al. (2017)","no signal - inconsistent","pose (expansive vs contractive)","risky gambling decision (yes vs. no)","very close","CRSP special issue","Dutch undergraduates",NA,"2 other DVS (testosterone level, cortisol level; same pattern of results observed)","OR = odds ratio (likelihood of choosing risky gamble vs. not)",NA,"http://www.people.hbs.edu/acuddy/in%20press,%20carney,%20cuddy,%20&%20yap,%20psych%20science.pdf","10.1177/0956797610383437","http://www.tandfonline.com/doi/pdf/10.1080/23743603.2016.1248081?needAccess=true",NA,"http://faculty.haas.berkeley.edu/dana_carney/PRS%20Materials%20-%20to%20replicate.zip",NA,NA,NA,NA,NA,"social",2010,NA,NA,"between-subjects","chi-square",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",999,281,525.672,12.9484761904762,65.709,35.125,1.61855952380952,NA,NA,NA,1.23431872570643,NA
"1000","power posing effect (risk-taking DV)","Carney, Cuddy & Yap (2010)",42,"OR",3.13,NA,200,"OR","1.14","[.68,1.89]","Bombari, Schmid et al. (2017)","no signal - inconsistent","pose (expansive vs contractive)","risky gambling decision (yes vs. no)","close","CRSP special issue","Swiss undergrad or Master's students",NA,NA,"OR = odds ratio (likelihood of choosing risky gamble vs. not)",NA,"http://www.people.hbs.edu/acuddy/in%20press,%20carney,%20cuddy,%20&%20yap,%20psych%20science.pdf","10.1177/0956797610383437","https://www.researchgate.net/profile/Joseph_Cesario/publication/317958126_Power_poses_-_where_do_we_stand/links/59dbd44d0f7e9b1460fc29be/Power-poses-where-do-we-stand.pdf#page=45",NA,NA,NA,NA,NA,NA,NA,"social",2010,NA,NA,"between-subjects","chi-square",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",1000,281,525.672,12.9484761904762,65.709,35.125,1.61855952380952,NA,NA,NA,1.23431872570643,NA
"1001","power posing effect (risk-taking DV)","Carney, Cuddy & Yap (2010)",42,"OR",3.13,NA,276,"OR","1.17","[.91,1.51]","Keller, Johnson et al. (2017)","no signal - inconsistent","pose (expansive vs contractive)","risky gambling decision (yes vs. no)","close","CRSP special issue","2 tickets to win $50 gift card instead of $2",NA,"impromptu job interview performance (same pattern of results observed)","OR = odds ratio (likelihood of choosing risky gamble vs. not)",NA,"http://www.people.hbs.edu/acuddy/in%20press,%20carney,%20cuddy,%20&%20yap,%20psych%20science.pdf","10.1177/0956797610383437","https://www.researchgate.net/profile/Joseph_Cesario/publication/317958126_Power_poses_-_where_do_we_stand/links/59dbd44d0f7e9b1460fc29be/Power-poses-where-do-we-stand.pdf#page=107","https://osf.io/hnef7/",NA,"https://osf.io/ut9jv/",NA,NA,NA,NA,"social",2010,NA,NA,"between-subjects","chi-square",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes",1001,281,525.672,12.9484761904762,65.709,35.125,1.61855952380952,NA,NA,NA,1.23431872570643,NA
"1002","elderly priming","Bargh et al. (1996) Study 2a",30,"d",1.02,0.76,31,"d","0.56","0.72","Hull et al. (2002) Study 1a","no signal - consistent","exposure to elderly cues vs. control (scrambled sentence)","walking speed","close","individual effort",NA,NA,NA,NA,NA,"http://paynelab395.web.unc.edu/files/2012/08/Bargh-Chen-Burrows-1996-Automaticity-of-social-behavior.pdf","10.1037/0022-3514.71.2.230","https://github.com/eplebel/science-commons/blob/master/curated/barghetal1996/hull%20et%20al%20(2002)%20The%20nonconsciousness%20of%20self-consciousness%20(2%20unsuccessful%20direct%20replications%20of%20bargh%20et%20al%201996%20study%202).pdf",NA,NA,NA,NA,NA,NA,NA,"social",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1002,1397,70.844,47.7474,3.22018181818182,63.5,2.17033636363636,0.355217760623573,508.821735107939,23.1282606867245,1.2350084431403,NA
"1003","elderly priming","Bargh et al. (1996) Study 2a",30,"d",1.02,0.76,40,"d","0.53","0.63","Hull et al. (2002) Study 1b","no signal - consistent","exposure to elderly cues vs. control (scrambled sentence)","walking speed","close","individual effort",NA,NA,NA,NA,NA,"http://paynelab395.web.unc.edu/files/2012/08/Bargh-Chen-Burrows-1996-Automaticity-of-social-behavior.pdf","10.1037/0022-3514.71.2.230","https://github.com/eplebel/science-commons/blob/master/curated/barghetal1996/hull%20et%20al%20(2002)%20The%20nonconsciousness%20of%20self-consciousness%20(2%20unsuccessful%20direct%20replications%20of%20bargh%20et%20al%201996%20study%202).pdf",NA,NA,NA,NA,NA,NA,NA,"social",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1003,1397,70.844,47.7474,3.22018181818182,63.5,2.17033636363636,0.355217760623573,508.821735107939,23.1282606867245,1.2350084431403,NA
"1004","elderly priming","Bargh et al. (1996) Study 2a",30,"d",1.02,0.76,45,"d","0.22","0.58","Cesario et al. (2007) Study 2","no signal - inconsistent","exposure to elderly cues vs. control (scrambled sentence)","walking speed","very close","individual effort",NA,NA,NA,NA,NA,"http://paynelab395.web.unc.edu/files/2012/08/Bargh-Chen-Burrows-1996-Automaticity-of-social-behavior.pdf","10.1037/0022-3514.71.2.230","https://msu.edu/~cesario/publications/cesario_plaks_higgins_2006_jpsp.pdf",NA,NA,NA,NA,NA,NA,NA,"social",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1004,1397,70.844,47.7474,3.22018181818182,63.5,2.17033636363636,0.355217760623573,508.821735107939,23.1282606867245,1.2350084431403,NA
"1005","elderly priming","Bargh et al. (1996) Study 2a",30,"d",1.02,0.76,66,"d","-0.22","0.48","Pashler et al. (2008)","no signal - inconsistent","exposure to elderly cues vs. control (scrambled sentence)","walking speed","very close","individual effort",NA,NA,NA,NA,NA,"http://paynelab395.web.unc.edu/files/2012/08/Bargh-Chen-Burrows-1996-Automaticity-of-social-behavior.pdf","10.1037/0022-3514.71.2.230","https://web.archive.org/web/20170923093613/http://www.psychfiledrawer.org/replication.php?attempt=MTU%3D",NA,NA,NA,NA,NA,NA,NA,"social",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1005,1397,70.844,47.7474,3.22018181818182,63.5,2.17033636363636,0.355217760623573,508.821735107939,23.1282606867245,1.2350084431403,NA
"1006","elderly priming","Bargh et al. (1996) Study 2a",30,"d",1.02,0.76,120,"d","-0.07","0.36","Doyen et al. (2012) Study 1","no signal - inconsistent","exposure to elderly cues vs. control (scrambled sentence)","walking speed","close","individual effort",NA,NA,NA,NA,NA,"http://paynelab395.web.unc.edu/files/2012/08/Bargh-Chen-Burrows-1996-Automaticity-of-social-behavior.pdf","10.1037/0022-3514.71.2.230","http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0029081",NA,"http://journals.plos.org/plosone/article/file?type=supplementary&id=info:doi/10.1371/journal.pone.0029081.s001",NA,NA,NA,NA,NA,"social",1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1006,1397,70.844,47.7474,3.22018181818182,63.5,2.17033636363636,0.355217760623573,508.821735107939,23.1282606867245,1.2350084431403,NA
"1007","embodiment of secrets effect","Slepian et al. (2012) Study 1",40,"d",0.78,0.62,314,"d","0.19","0.22","Perfecto et al. (2012)","no signal - inconsistent","big vs. small secret (write about)","hill steepness estimate (open-ended)","very close","individual effort",NA,NA,NA,NA,NA,"http://web.stanford.edu/group/ipc/pubs/Slepian-Masicampo-Toosi-Ambady_Physical-Burdens-of-Secrecy_2012_JEPG.pdf","10.1037/a0027598","https://web.archive.org/web/20170923095521/http://psychfiledrawer.org/replication.php?attempt=MTc2",NA,"https://web.archive.org/web/20170107102034/http://www.psychfiledrawer.org/files/8531391990603Materials.pdf",NA,NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1007,24,85.68,1.671,14.28,4,0.2785,0.296098771114081,19.7912418612651,3.29854031021086,0.787720933191615,NA
"1008","embodiment of secrets effect","Slepian et al. (2012) Study 1",40,"d",0.78,0.62,240,"d","0.18","0.25","LeBel & Wilbur (2014) Study 1","no signal - inconsistent","big vs. small secret (write about)","hill steepness estimate (open-ended)","very close","individual effort",NA,NA,NA,NA,NA,"http://web.stanford.edu/group/ipc/pubs/Slepian-Masicampo-Toosi-Ambady_Physical-Burdens-of-Secrecy_2012_JEPG.pdf","10.1037/a0027598","http://etiennelebel.com/documents/l&w(2014,pbr).pdf","https://osf.io/bks3g/","https://osf.io/dz2fx/","https://osf.io/dz2fx/",NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1008,24,85.68,1.671,14.28,4,0.2785,0.296098771114081,19.7912418612651,3.29854031021086,0.787720933191615,NA
"1009","embodiment of secrets effect","Slepian et al. (2012) Study 1",40,"d",0.78,0.62,90,"d","-0.32","0.41","LeBel & Wilbur (2014) Study 2","no signal - inconsistent","big vs. small secret (write about)","hill steepness estimate (open-ended)","very close","individual effort",NA,NA,NA,NA,NA,"http://web.stanford.edu/group/ipc/pubs/Slepian-Masicampo-Toosi-Ambady_Physical-Burdens-of-Secrecy_2012_JEPG.pdf","10.1037/a0027598","http://etiennelebel.com/documents/l&w(2014,pbr).pdf","https://osf.io/kdu9z/","https://osf.io/e5aj9/","https://osf.io/e5aj9/",NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1009,24,85.68,1.671,14.28,4,0.2785,0.296098771114081,19.7912418612651,3.29854031021086,0.787720933191615,NA
"1010","embodiment of secrets effect","Slepian et al. (2012) Study 1",40,"d",0.78,0.62,100,"d","0.08","0.39","Pecher et al. (2015) Study 1","no signal - inconsistent","big vs. small secret (write about)","hill steepness estimate (open-ended)","very close","individual effort",NA,NA,NA,NA,NA,"http://web.stanford.edu/group/ipc/pubs/Slepian-Masicampo-Toosi-Ambady_Physical-Burdens-of-Secrecy_2012_JEPG.pdf","10.1037/a0027598","https://s3.amazonaws.com/academia.edu.documents/37999752/PecherVanMierloCanalBrulandZeelenberg15.pdf?AWSAccessKeyId=AKIAIWOWYYGZ2Y53UL3A&Expires=1510160697&Signature=FSmhl5Z5BF%2Bcem9NgITBSb6fzxY%3D&response-content-disposition=inline%3B%20filename%3DThe_Burden_of_Secrecy_No_Effect_on_Hill.pdf",NA,NA,NA,NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1010,24,85.68,1.671,14.28,4,0.2785,0.296098771114081,19.7912418612651,3.29854031021086,0.787720933191615,NA
"1011","embodiment of secrets effect","Slepian et al. (2012) Study 1",40,"d",0.78,0.62,100,"d","0.21","0.39","Pecher et al. (2015) Study 2","no signal - inconsistent","big vs. small secret (write about)","hill steepness estimate (open-ended)","very close","individual effort",NA,NA,NA,NA,NA,"http://web.stanford.edu/group/ipc/pubs/Slepian-Masicampo-Toosi-Ambady_Physical-Burdens-of-Secrecy_2012_JEPG.pdf","10.1037/a0027598","https://s3.amazonaws.com/academia.edu.documents/37999752/PecherVanMierloCanalBrulandZeelenberg15.pdf?AWSAccessKeyId=AKIAIWOWYYGZ2Y53UL3A&Expires=1510160697&Signature=FSmhl5Z5BF%2Bcem9NgITBSb6fzxY%3D&response-content-disposition=inline%3B%20filename%3DThe_Burden_of_Secrecy_No_Effect_on_Hill.pdf",NA,NA,"https://osf.io/hmfxt/",NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1011,24,85.68,1.671,14.28,4,0.2785,0.296098771114081,19.7912418612651,3.29854031021086,0.787720933191615,NA
"1012","embodiment of secrets effect","Slepian et al. (2012) Study 2",36,"d",0.81,0.73,60,"d","0.31","0.52","Cobb et al. (2014)","no signal - inconsistent","meaningful vs. trivial secret (recall task)","beanbag toss distance","close","individual effort",NA,NA,NA,NA,NA,"http://web.stanford.edu/group/ipc/pubs/Slepian-Masicampo-Toosi-Ambady_Physical-Burdens-of-Secrecy_2012_JEPG.pdf","10.1037/a0027598","https://web.archive.org/web/*/http://psychfiledrawer.org/replication.php?attempt=MjIw",NA,NA,NA,NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1012,24,85.68,1.85666666666667,14.28,4,0.309444444444444,0.342874187129986,22.9177106677683,3.81961844462804,0.810881040656064,NA
"1013","embodiment of secrets effect","Slepian et al. (2012) Study 2",36,"d",0.81,0.73,118,"d","0.21","0.36","Pecher et al. (2015) Study 3","no signal - inconsistent","meaningful vs. trivial secret (recall task)","beanbag toss distance","very close","individual effort",NA,NA,NA,NA,NA,"http://web.stanford.edu/group/ipc/pubs/Slepian-Masicampo-Toosi-Ambady_Physical-Burdens-of-Secrecy_2012_JEPG.pdf","10.1037/a0027598","https://s3.amazonaws.com/academia.edu.documents/37999752/PecherVanMierloCanalBrulandZeelenberg15.pdf?AWSAccessKeyId=AKIAIWOWYYGZ2Y53UL3A&Expires=1510160697&Signature=FSmhl5Z5BF%2Bcem9NgITBSb6fzxY%3D&response-content-disposition=inline%3B%20filename%3DThe_Burden_of_Secrecy_No_Effect_on_Hill.pdf",NA,NA,"https://osf.io/qc3pz/",NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1013,24,85.68,1.85666666666667,14.28,4,0.309444444444444,0.342874187129986,22.9177106677683,3.81961844462804,0.810881040656064,NA
"1014","Macbeth effect (transcribe text)","Zhong & Liljenquist (2006) Study 2",27,"r",0.45,0.31,36,"r","0.04","0.33","Gamez et al. (2011) Study 2","no signal - inconsistent (imprecise)","moral purity threat (transcribe unethical vs. ethical act)","need to cleanse oneself (cleaning products desirability)","very close","individual effort",NA,NA,NA,NA,"#z&l","http://haniff.sg/wp-content/uploads/2013/04/washing-away-your-sins.pdf","10.1126/science.1130726","http://www.redalyc.org/pdf/172/17217456013.pdf",NA,NA,NA,NA,NA,NA,NA,"social",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1014,348,377.556,19.8806666666667,31.463,29,1.65672222222222,0.31,166.40118,13.866765,1.24461002606496,NA
"1015","Macbeth effect (transcribe text)","Zhong & Liljenquist (2006) Study 2",27,"r",0.45,0.31,335,"r","-0.04","0.11","Siev (2012) Study 1","no signal - inconsistent","moral purity threat (transcribe unethical vs. ethical act)","need to cleanse oneself (cleaning products desirability)","very close","individual effort",NA,NA,NA,NA,"#z&l","http://haniff.sg/wp-content/uploads/2013/04/washing-away-your-sins.pdf","10.1126/science.1130726","https://github.com/eplebel/science-commons/blob/master/curated/z%26l/Siev%20(2012).pdf",NA,NA,NA,NA,NA,NA,NA,"social",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1015,348,377.556,19.8806666666667,31.463,29,1.65672222222222,0.31,166.40118,13.866765,1.24461002606496,NA
"1016","Macbeth effect (transcribe text)","Zhong & Liljenquist (2006) Study 2",27,"r",0.45,0.31,148,"r","-0.09","0.16","Siev (2012) Study 2","no signal - inconsistent","moral purity threat (transcribe unethical vs. ethical act)","need to cleanse oneself (cleaning products desirability)","very close","individual effort",NA,NA,NA,NA,"#z&l","http://haniff.sg/wp-content/uploads/2013/04/washing-away-your-sins.pdf","10.1126/science.1130726","https://github.com/eplebel/science-commons/blob/master/curated/z%26l/Siev%20(2012).pdf",NA,"https://github.com/eplebel/science-commons/blob/master/curated/z%26l/Siev%20(2012%2C%20Study%202)%20-%20Spring08protocol%20undergrads%20fixed%20format.pdf",NA,NA,NA,NA,NA,"social",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1016,348,377.556,19.8806666666667,31.463,29,1.65672222222222,0.31,166.40118,13.866765,1.24461002606496,NA
"1017","Macbeth effect (transcribe text)","Zhong & Liljenquist (2006) Study 2",27,"r",0.45,0.31,153,"r","0","0.16","Earp et al. (2014) Study 1","no signal - inconsistent","moral purity threat (transcribe unethical vs. ethical act)","need to cleanse oneself (cleaning products desirability)","very close","individual effort",NA,NA,NA,NA,"#z&l","http://haniff.sg/wp-content/uploads/2013/04/washing-away-your-sins.pdf","10.1126/science.1130726","http://www.jimaceverett.com/wp-content/uploads/2014/09/Earp-Everett-et-al.-2014-Out-damned-spot.pdf","http://www.jimaceverett.com/wp-content/uploads/2014/09/Macbeth-Study-1.csv",NA,NA,NA,NA,NA,NA,"social",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1017,348,377.556,19.8806666666667,31.463,29,1.65672222222222,0.31,166.40118,13.866765,1.24461002606496,NA
"1018","Macbeth effect (transcribe text)","Zhong & Liljenquist (2006) Study 2",27,"r",0.45,0.31,156,"r","-0.07","0.16","Earp et al. (2014) Study 2","no signal - inconsistent","moral purity threat (transcribe unethical vs. ethical act)","need to cleanse oneself (cleaning products desirability)","very close","individual effort",NA,NA,NA,NA,"#z&l","http://haniff.sg/wp-content/uploads/2013/04/washing-away-your-sins.pdf","10.1126/science.1130726","http://www.jimaceverett.com/wp-content/uploads/2014/09/Earp-Everett-et-al.-2014-Out-damned-spot.pdf","http://www.jimaceverett.com/wp-content/uploads/2014/09/Macbeth-Study-2-USA.csv",NA,NA,NA,NA,NA,NA,"social",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1018,348,377.556,19.8806666666667,31.463,29,1.65672222222222,0.31,166.40118,13.866765,1.24461002606496,NA
"1019","Macbeth effect (transcribe text)","Zhong & Liljenquist (2006) Study 2",27,"r",0.45,0.31,286,"r","-0.11","0.11","Earp et al. (2014) Study 3","signal - inconsistent, opposite","moral purity threat (transcribe unethical vs. ethical act)","need to cleanse oneself (cleaning products desirability)","very close","individual effort",NA,NA,NA,NA,"#z&l","http://haniff.sg/wp-content/uploads/2013/04/washing-away-your-sins.pdf","10.1126/science.1130726","http://www.jimaceverett.com/wp-content/uploads/2014/09/Earp-Everett-et-al.-2014-Out-damned-spot.pdf","http://www.jimaceverett.com/wp-content/uploads/2014/09/Macbeth-Study-3-India.csv",NA,NA,NA,NA,NA,NA,"social",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1019,348,377.556,19.8806666666667,31.463,29,1.65672222222222,0.31,166.40118,13.866765,1.24461002606496,NA
"1020","Macbeth effect (recall [un]ethical act)","Zhong & Liljenquist (2006) Study 3",32,"r",0.38,0.3,210,"r","0.03","0.14","Fayard et al. (2009) Study 1","no signal - inconsistent","moral purity threat (recall unethical vs. ethical deed)","product choice (cleaning-related vs. unrelated)","very close","individual effort",NA,NA,NA,NA,"#z&l","http://haniff.sg/wp-content/uploads/2013/04/washing-away-your-sins.pdf","10.1126/science.1130726","http://www.jasnh.com/pdf/Vol6-No2.pdf","https://figshare.com/articles/Fayard_et_al_2009_Study_1/1007716",NA,NA,NA,NA,NA,NA,"social",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1020,348,377.556,16.7743125,31.463,29,1.397859375,0.3,161.0334,13.41945,1.18359613160072,NA
"1021","Macbeth effect (recall [un]ethical act)","Zhong & Liljenquist (2006) Study 3",32,"r",0.38,0.3,45,"r","0.15","0.29","Gamez et al. (2011) Study 3","no signal - inconsistent","moral purity threat (recall unethical vs. ethical deed)","product choice (cleaning-related vs. unrelated)","very close","individual effort",NA,NA,NA,NA,"#z&l","http://haniff.sg/wp-content/uploads/2013/04/washing-away-your-sins.pdf","10.1126/science.1130726","http://www.redalyc.org/pdf/172/17217456013.pdf",NA,NA,NA,NA,NA,NA,NA,"social",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1021,348,377.556,16.7743125,31.463,29,1.397859375,0.3,161.0334,13.41945,1.18359613160072,NA
"1022","Macbeth effect (physical cleansing)","Zhong & Liljenquist (2006) Study 4",45,"r",0.33,0.26,115,"r","0.01","0.18","Fayard et al. (2009) Study 2","no signal - inconsistent","physical cleansing (antiseptic wipe vs. control)","volunteerism (help student RA)","close","individual effort","minutes volunteering instead of binary choice to help",NA,NA,NA,"#z&l","http://haniff.sg/wp-content/uploads/2013/04/washing-away-your-sins.pdf","10.1126/science.1130726","http://www.jasnh.com/pdf/Vol6-No2.pdf",NA,NA,NA,NA,NA,NA,NA,"social",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1022,348,377.556,11.9284,31.463,29,0.994033333333333,0.26,139.56228,11.63019,1.07759267303758,NA
"1023","Macbeth effect (physical cleansing)","Zhong & Liljenquist (2006) Study 4",45,"r",0.33,0.26,28,"r","0.19","0.36","Gamez et al. (2011) Study 4","no signal - consistent (imprecise)","physical cleansing (antiseptic wipe vs. control)","volunteerism (help student RA)","very close","individual effort",NA,NA,NA,NA,"#z&l","http://haniff.sg/wp-content/uploads/2013/04/washing-away-your-sins.pdf","10.1126/science.1130726","http://www.redalyc.org/pdf/172/17217456013.pdf",NA,NA,NA,NA,NA,NA,NA,"social",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1023,348,377.556,11.9284,31.463,29,0.994033333333333,0.26,139.56228,11.63019,1.07759267303758,NA
"1024","Macbeth effect (physical cleansing)","Zhong & Liljenquist (2006) Study 4",45,"r",0.33,0.26,29,"r","0.39","0.31","Reuven et al. (2013)","signal - consistent (imprecise)","physical cleansing (antiseptic wipe vs. control)","volunteerism (help student RA)","close","individual effort","3-choice instead of binary choice DV",NA,NA,NA,"#z&l","http://haniff.sg/wp-content/uploads/2013/04/washing-away-your-sins.pdf","10.1126/science.1130726","https://msu.edu/~cesario/publications/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20loneliness%20bathing.pdf","https://osf.io/g83w6/",NA,NA,NA,NA,NA,NA,"social",2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1024,348,377.556,11.9284,31.463,29,0.994033333333333,0.26,139.56228,11.63019,1.07759267303758,NA
"1025","warmth embodiment (hot shower loneliness effect)","Bargh & Shalev (2012) Study 1a",51,"r",0.57,0.19,197,"r","-0.13","0.14","Donnellan et al. (2015a) Study 9","no signal - inconsistent","UCLA Loneliness scale (10-item v1)","showering/bathing behaviors (3-items)","very close","individual effort",NA,NA,NA,NA,"#b&s2012","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406601/","10.1037/a0023527","https://msu.edu/~cesario/publications/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20loneliness%20bathing.pdf","https://github.com/eplebel/science-commons/blob/master/curated/b%26s2012/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20DATA%20for%20Combined%20Studies%205%20to%209.csv","https://github.com/eplebel/science-commons/blob/master/curated/b%26s2012/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20CODEBOOK%20for%20Combined%20Studies%205%20to%209.pdf",NA,NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1025,82,213.93,3.70519607843137,35.655,13.6666666666667,0.617532679738562,0.19,35.90335,5.98389166666667,0.991489408430618,NA
"1026","warmth embodiment (hot shower loneliness effect)","Bargh & Shalev (2012) Study 1a",51,"r",0.57,0.19,228,"r","-0.1","0.13","Donnellan et al. (2015a) Study 4","no signal - inconsistent","UCLA Loneliness scale (20-item v3)","showering/bathing behaviors (3-items)","close","individual effort","online (SurveyMonkey); slightly different scale response options; 20-item (instead of 10-item) UCLA Loneliness Scale",NA,NA,NA,"#b&s2012","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406601/","10.1037/a0023527","https://msu.edu/~cesario/publications/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20loneliness%20bathing.pdf","https://github.com/eplebel/science-commons/blob/master/curated/b%26s2012/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20DATA%20for%20Combined%20Studies%201%20to%204.csv","https://github.com/eplebel/science-commons/blob/master/curated/b%26s2012/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20CODEBOOK%20for%20Combined%20Studies%201%20to%204.pdf",NA,NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1026,82,213.93,3.70519607843137,35.655,13.6666666666667,0.617532679738562,0.19,35.90335,5.98389166666667,0.991489408430618,NA
"1027","warmth embodiment (hot shower loneliness effect)","Bargh & Shalev (2012) Study 1a",51,"r",0.57,0.19,235,"r","-0.06","0.13","Donnellan et al. (2015a) Study 1","no signal - inconsistent","UCLA Loneliness scale (20-item v3)","showering/bathing behaviors (3-items)","close","individual effort","slightly different scale response options; 20-item (instead of 10-item) UCLA Loneliness Scale",NA,NA,NA,"#b&s2012","http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406601/","10.1037/a0023527","https://msu.edu/~cesario/publications/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20loneliness%20bathing.pdf","https://github.com/eplebel/science-commons/blob/master/curated/b%26s2012/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20DATA%20for%20Combined%20Studies%201%20to%204.csv","https://github.com/eplebel/science-commons/blob/master/curated/b%26s2012/Donnellan%20Lucas%20Cesario%20IN%20PRESS%20EMOTION%20CODEBOOK%20for%20Combined%20Studies%201%20to%204.pdf",NA,NA,NA,NA,NA,"social",2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes","yes",1027,82,213.93,3.70519607843137,35.655,13.6666666666667,0.617532679738562,0.19,35.90335,5.98389166666667,0.991489408430618,NA
